Age,Gender,EducationLevel,ExperienceYears,PreviousCompanies,DistanceFromCompany,InterviewScore,SkillScore,PersonalityScore,RecruitmentStrategy,HiringDecision,CurrentStage,FinalStatus,ResumeScore,TechnicalScore,CommunicationScore,ScreeningDate,Interview1Date,HRDate,DropStage,DropReason
26,Female,Bachelor's (Type 2),0,3,26.78382755,48,78,91,Aggressive,1,Selected,Selected,55,78,70,06-05-2026,09-05-2026,11-05-2026,None,N/A
39,Female,PhD,12,3,25.86269433,35,68,80,Moderate,1,Selected,Selected,84,68,60,05-05-2026,07-05-2026,10-05-2026,None,N/A
48,Male,Bachelor's (Type 2),3,2,9.920804828,20,67,13,Moderate,0,Selected,Selected,56,67,60,06-05-2026,08-05-2026,09-05-2026,None,N/A
34,Female,Bachelor's (Type 2),5,2,6.407750729,36,27,70,Conservative,0,Screening,Rejected,34,27,50,05-05-2026,07-05-2026,09-05-2026,Screening,Low Resume Score
30,Male,Bachelor's (Type 1),6,1,43.10534312,23,52,85,Moderate,0,Interview 1,Rejected,54,52,60,07-05-2026,11-05-2026,12-05-2026,Interview 1,Weak Technical Skills
27,Male,Master's,14,4,31.70665881,54,50,50,Aggressive,1,Interview 1,Rejected,77,50,70,06-05-2026,10-05-2026,12-05-2026,Interview 1,Weak Technical Skills
48,Male,Bachelor's (Type 2),6,1,17.2912292,24,52,64,Conservative,0,Interview 1,Rejected,54,52,50,07-05-2026,10-05-2026,12-05-2026,Interview 1,Weak Technical Skills
40,Male,PhD,13,3,10.58681087,6,3,92,Conservative,0,Screening,Rejected,41,3,50,05-05-2026,09-05-2026,11-05-2026,Screening,Low Resume Score
26,Female,Master's,6,5,28.77486401,80,78,51,Aggressive,1,Selected,Selected,73,78,70,06-05-2026,09-05-2026,12-05-2026,None,N/A
45,Female,Bachelor's (Type 2),2,5,30.19596446,92,16,94,Conservative,0,Screening,Rejected,17,16,50,06-05-2026,10-05-2026,13-05-2026,Screening,Low Resume Score
38,Female,Bachelor's (Type 1),15,2,11.34968006,93,66,29,Moderate,0,Selected,Selected,91,66,60,05-05-2026,08-05-2026,10-05-2026,None,N/A
42,Male,Master's,5,5,43.57028739,70,73,56,Moderate,0,Selected,Selected,66,73,60,07-05-2026,10-05-2026,11-05-2026,None,N/A
30,Male,Master's,12,5,5.213218308,96,46,78,Conservative,1,Interview 1,Rejected,68,46,50,06-05-2026,09-05-2026,11-05-2026,Interview 1,Weak Technical Skills
30,Male,Bachelor's (Type 1),7,5,18.80465426,70,55,81,Moderate,0,Interview 1,Rejected,60,55,60,06-05-2026,10-05-2026,12-05-2026,Interview 1,Weak Technical Skills
43,Female,Bachelor's (Type 2),3,3,35.01922069,23,22,98,Aggressive,0,Screening,Rejected,24,22,70,05-05-2026,08-05-2026,09-05-2026,Screening,Low Resume Score
40,Male,Master's,12,5,14.70601819,10,17,29,Moderate,0,Screening,Rejected,48,17,60,07-05-2026,10-05-2026,12-05-2026,Screening,Low Resume Score
23,Female,Bachelor's (Type 1),7,5,42.38375974,72,0,97,Moderate,0,Screening,Rejected,21,0,60,07-05-2026,11-05-2026,13-05-2026,Screening,Low Resume Score
27,Female,PhD,1,5,37.99339133,11,34,41,Aggressive,0,Screening,Rejected,27,34,70,07-05-2026,09-05-2026,10-05-2026,Screening,Low Resume Score
43,Female,Bachelor's (Type 2),14,1,40.45114223,34,63,10,Moderate,0,Selected,Selected,86,63,60,07-05-2026,11-05-2026,12-05-2026,None,N/A
22,Female,Bachelor's (Type 1),9,3,6.955326794,62,57,26,Moderate,0,Interview 1,Rejected,67,57,60,06-05-2026,09-05-2026,10-05-2026,Interview 1,Weak Technical Skills
41,Female,Master's,8,2,8.0273564,67,94,23,Moderate,0,Selected,Selected,90,94,60,07-05-2026,11-05-2026,13-05-2026,None,N/A
40,Female,Bachelor's (Type 2),8,1,15.32368689,99,58,98,Moderate,1,Interview 1,Rejected,65,58,60,05-05-2026,08-05-2026,11-05-2026,Interview 1,Weak Technical Skills
21,Male,Bachelor's (Type 2),7,4,26.90385826,91,0,38,Conservative,0,Screening,Rejected,21,0,50,06-05-2026,09-05-2026,12-05-2026,Screening,Low Resume Score
43,Male,Bachelor's (Type 1),9,3,38.40080383,56,2,71,Moderate,0,Screening,Rejected,28,2,60,05-05-2026,07-05-2026,10-05-2026,Screening,Low Resume Score
31,Female,Bachelor's (Type 1),13,3,42.82654454,12,66,17,Moderate,0,Selected,Selected,85,66,60,07-05-2026,09-05-2026,10-05-2026,None,N/A
49,Female,Bachelor's (Type 2),12,4,36.2167658,22,36,76,Aggressive,1,Interview 1,Rejected,61,36,70,06-05-2026,10-05-2026,13-05-2026,Interview 1,Weak Technical Skills
25,Male,Bachelor's (Type 2),9,4,47.42984408,82,82,44,Moderate,0,Selected,Selected,84,82,60,06-05-2026,08-05-2026,10-05-2026,None,N/A
21,Female,Bachelor's (Type 2),0,4,37.93717548,100,28,87,Conservative,0,Screening,Rejected,20,28,50,05-05-2026,07-05-2026,08-05-2026,Screening,Low Resume Score
,Female,Master's,1,2,16.31339435,38,88,86,Moderate,0,Selected,Selected,65,88,60,05-05-2026,08-05-2026,10-05-2026,None,N/A
40,Male,Bachelor's (Type 2),5,5,14.25406422,87,32,11,Moderate,0,Screening,Rejected,37,32,60,07-05-2026,10-05-2026,11-05-2026,Screening,Low Resume Score
20,Female,Bachelor's (Type 1),9,3,35.80962252,79,99,48,Moderate,0,Selected,Selected,96,99,60,05-05-2026,08-05-2026,10-05-2026,None,N/A
31,Female,Bachelor's (Type 2),4,5,10.64352843,96,60,93,Moderate,0,Selected,Selected,54,60,60,06-05-2026,10-05-2026,13-05-2026,None,N/A
45,Female,PhD,11,5,5.635740541,11,92,30,Aggressive,1,Selected,Selected,97,92,70,06-05-2026,08-05-2026,11-05-2026,None,N/A
41,Male,,13,4,27.61114374,33,89,91,Conservative,1,Interview 2,Rejected,100,89,50,06-05-2026,09-05-2026,10-05-2026,Interview 2,Poor Communication
48,Male,Bachelor's (Type 2),8,2,42.08207849,70,3,21,Aggressive,0,Screening,Rejected,26,3,70,07-05-2026,11-05-2026,12-05-2026,Screening,Low Resume Score
31,Male,Bachelor's (Type 2),4,1,6.068992123,74,13,43,Moderate,0,Screening,Rejected,21,13,60,07-05-2026,09-05-2026,12-05-2026,Screening,Low Resume Score
44,Female,Bachelor's (Type 2),1,2,40.59456619,30,90,91,Moderate,0,Selected,Selected,66,90,60,07-05-2026,09-05-2026,12-05-2026,None,N/A
36,Female,Master's,9,5,41.57860022,92,32,63,Moderate,1,Screening,Rejected,49,32,60,06-05-2026,09-05-2026,11-05-2026,Screening,Low Resume Score
46,Male,Master's,3,2,25.1137,61,21,76,Aggressive,1,Screening,Rejected,24,21,70,06-05-2026,08-05-2026,10-05-2026,Screening,Low Resume Score
46,Female,Bachelor's (Type 2),8,4,3.865515501,12,47,24,Moderate,0,Interview 1,Rejected,57,47,60,07-05-2026,11-05-2026,12-05-2026,Interview 1,Weak Technical Skills
50,Female,Master's,0,1,9.729492562,30,2,50,Aggressive,0,Screening,Rejected,1,2,70,06-05-2026,10-05-2026,12-05-2026,Screening,Low Resume Score
29,Female,Master's,10,4,36.37131376,1,86,6,Aggressive,1,Selected,Selected,90,86,70,07-05-2026,10-05-2026,13-05-2026,None,N/A
47,Female,Bachelor's (Type 1),0,1,36.58889725,14,84,5,Moderate,0,Selected,Selected,59,84,60,06-05-2026,08-05-2026,11-05-2026,None,N/A
47,Female,Bachelor's (Type 2),11,5,45.91776376,56,22,23,Moderate,0,Screening,Rejected,48,22,60,06-05-2026,10-05-2026,13-05-2026,Screening,Low Resume Score
35,Male,Bachelor's (Type 1),6,1,30.13430733,74,67,18,Aggressive,1,Selected,Selected,65,67,70,05-05-2026,08-05-2026,11-05-2026,None,N/A
34,Female,Bachelor's (Type 2),10,1,7.205368386,33,20,82,Aggressive,1,Screening,Rejected,44,20,70,07-05-2026,10-05-2026,13-05-2026,Screening,Low Resume Score
49,Male,Master's,2,1,7.070745275,67,100,99,Conservative,0,Interview 2,Rejected,76,100,50,07-05-2026,11-05-2026,14-05-2026,Interview 2,Poor Communication
49,Female,Bachelor's (Type 2),9,2,37.05661787,74,42,8,Conservative,0,Interview 1,Rejected,56,42,50,07-05-2026,09-05-2026,11-05-2026,Interview 1,Weak Technical Skills
34,Male,Bachelor's (Type 2),1,2,10.18923326,28,94,35,Aggressive,0,Selected,Selected,69,94,70,05-05-2026,08-05-2026,10-05-2026,None,N/A
49,Female,Bachelor's (Type 1),8,5,17.41927498,65,84,39,Moderate,0,Selected,Selected,83,84,60,07-05-2026,10-05-2026,13-05-2026,None,N/A
38,Male,Bachelor's (Type 2),2,1,25.36060035,15,25,92,Moderate,0,Screening,Rejected,24,25,60,05-05-2026,08-05-2026,09-05-2026,Screening,Low Resume Score
31,Female,Bachelor's (Type 2),15,3,2.238243879,38,40,23,Moderate,0,Interview 1,Rejected,73,40,60,05-05-2026,09-05-2026,10-05-2026,Interview 1,Weak Technical Skills
42,Male,Bachelor's (Type 2),1,5,13.44095135,76,98,47,Conservative,0,Interview 2,Rejected,72,98,50,05-05-2026,07-05-2026,09-05-2026,Interview 2,Poor Communication
39,Female,Bachelor's (Type 2),11,1,21.39448043,36,37,62,Aggressive,1,Interview 1,Rejected,59,37,70,07-05-2026,11-05-2026,12-05-2026,Interview 1,Weak Technical Skills
44,Male,Bachelor's (Type 2),7,1,14.98181592,80,87,68,Moderate,1,Selected,Selected,82,87,60,07-05-2026,09-05-2026,12-05-2026,None,N/A
22,Female,Bachelor's (Type 2),,2,7.818516373,20,10,52,Moderate,0,Screening,Rejected,7,10,60,05-05-2026,07-05-2026,10-05-2026,Screening,Low Resume Score
24,Male,Bachelor's (Type 1),5,5,37.40061289,43,28,53,Moderate,0,Screening,Rejected,35,28,60,07-05-2026,09-05-2026,11-05-2026,Screening,Low Resume Score
38,Male,Bachelor's (Type 1),5,1,41.65738276,,59,41,Moderate,0,Interview 1,Rejected,56,59,60,06-05-2026,09-05-2026,10-05-2026,Interview 1,Weak Technical Skills
26,Female,Bachelor's (Type 2),9,1,13.87394881,70,66,44,Conservative,0,Interview 2,Rejected,73,66,50,07-05-2026,09-05-2026,11-05-2026,Interview 2,Poor Communication
40,Female,Bachelor's (Type 2),10,5,39.72097473,7,64,89,Aggressive,1,Selected,Selected,75,64,70,06-05-2026,09-05-2026,10-05-2026,None,N/A
28,Male,Bachelor's (Type 2),6,3,20.27767822,76,60,13,Aggressive,1,Selected,Selected,60,60,70,07-05-2026,11-05-2026,14-05-2026,None,N/A
26,Female,Bachelor's (Type 2),6,5,26.33428954,100,18,28,Aggressive,1,Screening,Rejected,31,18,70,06-05-2026,08-05-2026,11-05-2026,Screening,Low Resume Score
37,Male,Bachelor's (Type 2),10,5,43.80005374,65,45,5,Conservative,0,Interview 1,Rejected,62,45,50,07-05-2026,11-05-2026,12-05-2026,Interview 1,Weak Technical Skills
23,Male,Master's,12,3,38.49768409,40,48,6,Moderate,0,Interview 1,Rejected,70,48,60,07-05-2026,10-05-2026,13-05-2026,Interview 1,Weak Technical Skills
44,Male,Bachelor's (Type 1),14,5,41.25584257,74,21,36,Moderate,0,Interview 1,Rejected,57,21,60,07-05-2026,09-05-2026,11-05-2026,Interview 1,Weak Technical Skills
47,Female,Bachelor's (Type 2),5,1,7.842258329,87,77,52,Aggressive,1,Selected,Selected,69,77,70,07-05-2026,10-05-2026,11-05-2026,None,N/A
33,Male,Master's,3,5,4.485971292,69,56,17,Conservative,0,Screening,Rejected,48,56,50,07-05-2026,09-05-2026,11-05-2026,Screening,Low Resume Score
37,Male,Bachelor's (Type 2),10,3,45.67023645,60,13,86,Conservative,0,Screening,Rejected,39,13,50,05-05-2026,07-05-2026,10-05-2026,Screening,Low Resume Score
45,Female,Bachelor's (Type 2),8,4,20.39171348,25,43,37,Moderate,0,Interview 1,Rejected,54,43,60,07-05-2026,11-05-2026,12-05-2026,Interview 1,Weak Technical Skills
28,Female,PhD,5,5,15.3939839,70,15,58,Moderate,0,Screening,Rejected,26,15,60,06-05-2026,10-05-2026,12-05-2026,Screening,Low Resume Score
45,Female,Master's,3,2,37.23481271,82,96,0,Aggressive,1,Selected,Selected,76,96,70,05-05-2026,09-05-2026,10-05-2026,None,N/A
40,Female,Bachelor's (Type 2),11,1,42.82077983,69,76,67,Moderate,0,Selected,Selected,86,76,60,07-05-2026,11-05-2026,13-05-2026,None,N/A
21,Male,Bachelor's (Type 2),2,1,44.12448109,28,11,43,Moderate,0,Screening,Rejected,14,11,60,05-05-2026,09-05-2026,12-05-2026,Screening,Low Resume Score
39,Male,Bachelor's (Type 2),3,2,16.79985706,65,54,46,Aggressive,0,Screening,Rejected,47,54,70,05-05-2026,09-05-2026,11-05-2026,Screening,Low Resume Score
47,Male,Bachelor's (Type 2),2,2,43.61061956,18,50,34,Moderate,0,Screening,Rejected,41,50,60,05-05-2026,08-05-2026,10-05-2026,Screening,Low Resume Score
34,Male,Bachelor's (Type 2),14,5,3.046697219,67,,86,Aggressive,1,Screening,Rejected,42,0,70,06-05-2026,09-05-2026,11-05-2026,Screening,Low Resume Score
47,Female,Bachelor's (Type 2),1,2,3.483074573,57,32,90,Moderate,0,Screening,Rejected,25,32,60,05-05-2026,08-05-2026,10-05-2026,Screening,Low Resume Score
26,Male,Bachelor's (Type 2),13,4,32.17595976,69,32,59,Moderate,0,Interview 1,Rejected,61,32,60,05-05-2026,09-05-2026,12-05-2026,Interview 1,Weak Technical Skills
31,Male,Bachelor's (Type 2),4,3,4.155318456,56,28,89,Aggressive,0,Screening,Rejected,32,28,70,05-05-2026,08-05-2026,09-05-2026,Screening,Low Resume Score
48,Female,Master's,1,2,17.23045843,36,68,51,Moderate,0,Selected,Selected,51,68,60,05-05-2026,09-05-2026,10-05-2026,None,N/A
27,Male,Bachelor's (Type 2),5,2,34.63779931,60,69,7,Moderate,0,Selected,Selected,63,69,60,07-05-2026,09-05-2026,10-05-2026,None,N/A
34,Male,Bachelor's (Type 1),2,4,17.8633448,91,30,79,Aggressive,1,Screening,Rejected,27,30,70,05-05-2026,08-05-2026,10-05-2026,Screening,Low Resume Score
22,Male,Bachelor's (Type 2),5,1,9.979989072,29,79,40,Conservative,0,Interview 2,Rejected,70,79,50,06-05-2026,09-05-2026,12-05-2026,Interview 2,Poor Communication
33,Male,Bachelor's (Type 2),14,1,15.06753109,70,30,2,Aggressive,0,Interview 1,Rejected,63,30,70,07-05-2026,11-05-2026,14-05-2026,Interview 1,Weak Technical Skills
36,Male,Bachelor's (Type 2),10,5,23.87876661,72,88,95,Moderate,1,Selected,Selected,92,88,60,07-05-2026,11-05-2026,13-05-2026,None,N/A
23,Male,Bachelor's (Type 2),9,4,24.76929277,24,45,68,Aggressive,1,Interview 1,Rejected,59,45,70,07-05-2026,10-05-2026,13-05-2026,Interview 1,Weak Technical Skills
37,Female,Bachelor's (Type 2),8,3,40.15001157,96,96,83,Aggressive,1,Selected,Selected,91,96,70,06-05-2026,09-05-2026,11-05-2026,None,N/A
27,Female,Bachelor's (Type 2),0,3,38.50766147,64,76,13,Aggressive,0,Selected,Selected,53,76,70,05-05-2026,08-05-2026,09-05-2026,None,N/A
23,Male,Bachelor's (Type 1),15,4,23.84089023,5,51,95,Aggressive,1,Interview 1,Rejected,81,51,70,05-05-2026,09-05-2026,12-05-2026,Interview 1,Weak Technical Skills
21,Male,Bachelor's (Type 1),15,3,43.28336745,17,9,25,Moderate,0,Interview 1,Rejected,51,9,60,06-05-2026,09-05-2026,12-05-2026,Interview 1,Weak Technical Skills
49,Female,Bachelor's (Type 2),5,1,6.71185693,9,87,,Aggressive,1,Selected,Selected,76,87,70,06-05-2026,10-05-2026,11-05-2026,None,N/A
25,Male,Bachelor's (Type 2),8,3,13.76766751,91,73,57,Moderate,0,Selected,Selected,75,73,60,07-05-2026,11-05-2026,12-05-2026,None,N/A
41,Male,PhD,10,3,42.39882318,10,40,99,Aggressive,1,Interview 1,Rejected,58,40,70,05-05-2026,08-05-2026,09-05-2026,Interview 1,Weak Technical Skills
29,Male,Bachelor's (Type 2),3,4,19.89970193,96,94,39,Aggressive,1,Selected,Selected,75,94,70,07-05-2026,11-05-2026,12-05-2026,None,N/A
23,Female,Bachelor's (Type 2),10,4,50.05907794,64,76,50,Moderate,0,Selected,Selected,83,76,60,06-05-2026,09-05-2026,12-05-2026,None,N/A
41,Male,Bachelor's (Type 2),11,3,24.31266408,76,2,4,Conservative,0,Screening,Rejected,34,2,50,05-05-2026,07-05-2026,10-05-2026,Screening,Low Resume Score
48,Female,Bachelor's (Type 1),1,2,40.59678115,100,58,76,Moderate,0,Screening,Rejected,44,58,60,05-05-2026,09-05-2026,10-05-2026,Screening,Low Resume Score
50,Male,PhD,12,4,21.11535207,83,51,31,Moderate,1,Interview 1,Rejected,72,51,60,07-05-2026,09-05-2026,11-05-2026,Interview 1,Weak Technical Skills
37,Female,Bachelor's (Type 2),3,5,22.24767595,64,33,79,Aggressive,0,Screening,Rejected,32,33,70,07-05-2026,10-05-2026,11-05-2026,Screening,Low Resume Score
45,Female,Master's,0,5,20.14415736,51,48,0,Conservative,0,Screening,Rejected,34,48,50,06-05-2026,08-05-2026,10-05-2026,Screening,Low Resume Score
31,Male,Bachelor's (Type 1),2,1,36.95378103,66,27,76,Aggressive,0,Screening,Rejected,25,27,70,07-05-2026,11-05-2026,12-05-2026,Screening,Low Resume Score
21,Female,Bachelor's (Type 2),9,3,28.3758942,81,82,53,Aggressive,1,Selected,Selected,84,82,70,07-05-2026,10-05-2026,12-05-2026,None,N/A
29,Male,Bachelor's (Type 2),8,2,48.18890557,77,86,10,Moderate,0,Selected,Selected,84,86,60,05-05-2026,08-05-2026,09-05-2026,None,N/A
49,Female,Master's,9,1,13.54451583,30,95,52,Moderate,0,Selected,Selected,94,95,60,06-05-2026,09-05-2026,12-05-2026,None,N/A
23,Male,Bachelor's (Type 1),4,3,6.028136604,90,12,7,Conservative,0,Screening,Rejected,20,12,50,05-05-2026,09-05-2026,10-05-2026,Screening,Low Resume Score
